Temperature,Humidity,Light,Soil_Moisture,CO2,Growth
14.03,54.59,368.11,14.47,585.46,83.09
14.82,59.26,404.64,10.49,525.49,80.5
15.54,59.39,303.29,14.13,547.78,83.33
15.23,52.33,225.33,10.98,595.16,69.1
15.92,53.55,489.64,12.06,532.29,90.47
14.19,51.15,294.82,11.54,559.23,68.7
15.26,55.2,331.26,12.08,509.96,76.52
13.47,54.75,384.91,10.74,560.87,74.28
14.56,58.78,205.03,12.53,511.22,70.78
15.97,59.33,435.44,13.97,594.47,96.82
15.78,53.9,356.97,12.13,572.8,82.95
17.03,54.91,270.24,12.33,578.88,81.43
14.13,58.85,217.9,14.17,571.39,74.52
15.01,58.21,243.94,13.51,558.36,76.66
14.25,49.98,468.76,12.47,546.5,82.89
14.7,52.99,398.96,11.36,586.25,80.13
16.45,53.92,275.32,14.39,594.73,84.13
15.66,52.48,217.93,12.82,549.89,72.62
16.5,52.09,413.52,11.0,592.82,85.1
13.84,50.39,377.67,11.38,559.02,71.96
16.44,56.37,324.67,14.12,552.18,86.49
13.33,52.55,307.71,10.31,545.41,65.13
16.62,50.37,273.41,15.01,521.48,80.67
14.23,52.25,394.34,10.7,500.42,73.63
14.2,57.71,485.28,14.1,526.04,92.0
14.92,58.41,252.36,12.0,552.06,73.51
16.72,54.79,388.64,12.51,537.99,86.45
13.24,54.25,326.4,14.38,545.15,76.53
14.39,59.77,333.23,11.97,598.48,79.74
16.45,52.12,270.17,12.64,535.59,77.56
14.5,52.35,451.53,10.25,542.65,78.01
13.84,53.07,349.59,10.02,512.93,68.34
14.67,51.8,366.35,11.36,502.71,73.55
14.54,53.8,288.78,13.41,579.34,76.73
16.66,58.97,251.56,10.69,556.98,76.7
15.97,56.26,220.32,10.54,575.8,71.08
14.95,54.36,414.59,12.03,516.25,80.89
17.01,59.39,254.32,13.14,557.78,83.93
14.88,50.76,402.06,13.51,523.78,82.4
13.29,51.88,315.33,10.93,522.71,66.16
14.07,55.49,322.67,10.4,500.68,69.15
14.75,56.28,338.49,14.77,510.58,82.82
13.53,50.43,312.28,11.32,529.96,67.65
16.77,54.22,230.52,14.24,511.43,78.75
16.07,56.49,291.67,14.47,598.42,85.75
14.19,56.85,399.89,13.86,528.78,83.8
15.4,56.35,395.56,10.93,514.65,80.06
15.97,52.98,286.31,14.08,519.76,79.68
16.8,50.77,338.67,13.9,558.82,84.97
16.49,54.41,251.7,13.05,506.97,77.69
15.07,51.41,267.31,11.7,585.14,71.49
16.11,59.53,203.2,11.14,596.79,74.55
15.19,54.5,469.4,10.61,524.16,83.51
15.19,53.12,268.12,12.64,543.75,72.92
13.45,57.49,272.16,12.96,503.02,70.75
13.6,55.15,284.03,11.83,566.17,70.23
15.0,53.02,236.69,12.25,542.41,70.61
14.14,57.96,395.77,11.77,528.3,79.22
13.03,58.68,225.39,13.23,519.95,67.79
15.81,56.64,237.65,14.54,563.16,80.74
13.2,50.68,390.08,10.91,543.72,69.27
15.42,55.56,293.16,11.9,520.85,75.82
15.23,57.43,413.03,10.73,571.08,82.11
16.92,51.05,366.88,13.13,556.04,85.53
15.06,52.28,281.6,13.57,584.25,76.88
13.29,58.74,396.76,14.5,510.25,83.19
15.2,49.99,240.51,11.43,576.2,67.81
16.38,57.7,357.98,14.76,567.2,92.32
17.06,54.83,335.94,10.27,513.76,77.65
14.68,54.46,278.13,12.9,569.28,74.93
14.24,50.27,384.48,10.33,544.58,71.7
16.61,58.29,455.25,14.45,596.43,100.44
13.64,53.48,500.66,12.69,513.59,84.2
15.47,55.26,373.96,13.48,567.14,86.11
14.51,56.89,320.29,14.0,541.0,81.33
13.17,57.08,269.42,10.7,595.5,66.13
14.44,59.58,274.93,10.18,532.19,69.98
14.03,55.19,339.41,14.5,597.2,82.65
15.84,54.09,313.75,11.46,589.66,77.58
16.71,59.43,473.71,10.78,525.41,91.91
14.14,56.41,308.43,12.35,582.15,75.95
16.28,53.19,312.21,12.98,601.27,82.33
13.12,51.17,326.17,10.14,525.48,63.49
15.31,58.2,455.85,11.34,541.9,85.98
13.28,53.47,400.14,10.24,550.29,71.5
16.69,56.75,386.09,12.02,529.64,87.01
15.98,54.75,300.94,14.5,500.82,82.4
15.62,51.97,435.27,14.89,521.53,90.4
16.29,55.94,208.65,13.13,529.63,76.14
15.6,50.68,459.21,10.99,545.39,82.69
16.86,54.01,345.92,14.56,519.05,88.77
15.89,55.51,314.6,12.63,585.93,82.08
16.68,54.25,340.8,10.85,570.01,81.66
14.96,57.36,400.06,14.51,509.59,87.41
13.46,58.19,207.28,13.91,565.64,70.44
14.98,57.66,466.13,13.48,567.52,91.87
13.53,50.38,335.77,13.49,596.21,75.35
15.31,51.98,298.83,10.97,502.9,71.02
14.94,54.83,233.33,11.1,525.55,68.44
15.57,59.23,324.43,13.46,594.27,85.67
12.99,58.29,343.55,11.09,592.76,72.92
13.84,58.64,317.35,12.19,572.08,75.75
14.94,52.88,402.92,13.84,577.86,86.35
16.9,54.32,321.99,13.81,511.41,85.65
14.51,54.92,489.85,12.32,552.41,86.74
14.65,51.38,378.8,14.01,523.04,81.88
15.9,50.37,442.29,14.31,520.06,88.73
15.39,59.35,237.61,13.22,577.95,78.29
14.15,52.33,314.21,11.19,511.51,69.3
14.62,52.28,302.82,11.35,547.82,71.16
13.87,50.73,370.79,11.66,593.88,74.81
16.94,59.68,456.93,10.66,519.43,89.55
13.41,55.92,227.23,11.38,597.89,65.48
14.49,56.83,225.48,11.02,600.23,68.44
13.14,59.19,451.11,12.35,554.42,84.15
13.9,53.22,263.09,14.59,517.82,72.94
16.2,56.27,401.81,10.47,533.01,83.04
13.8,50.54,361.71,13.51,544.16,77.42
13.31,51.74,452.33,13.42,533.76,81.28
14.93,58.45,238.71,10.59,528.41,68.17
13.05,57.77,246.66,14.7,597.61,73.6
13.32,53.77,360.6,12.76,513.2,74.76
16.26,53.71,483.4,11.73,572.59,90.56
16.05,55.18,320.67,13.87,499.77,82.95
16.63,49.95,300.63,11.2,561.09,76.39
16.39,52.62,375.19,13.5,590.74,87.95
15.81,51.82,480.59,10.15,529.91,83.19
13.02,52.2,448.42,14.31,518.55,82.16
16.15,58.07,495.55,12.19,564.92,95.16
16.38,52.73,200.67,13.27,571.61,75.07
16.1,51.92,231.9,11.12,568.25,70.94
15.05,55.18,387.41,13.4,531.33,83.56
13.96,58.58,446.07,13.72,522.83,87.52
16.42,52.14,288.22,12.21,595.24,79.19
15.76,51.08,278.78,13.07,591.66,77.23
17.0,53.42,437.2,12.3,545.01,90.18
13.58,57.32,214.56,14.39,585.21,73.4
13.94,55.67,312.78,12.41,546.16,74.25
13.89,58.11,349.45,14.25,542.77,82.14
16.12,59.59,365.98,14.05,517.07,89.73
13.79,58.0,412.18,12.04,543.45,81.68
13.24,56.2,310.36,11.21,553.33,69.22
16.88,54.89,382.18,11.95,501.6,86.14
13.17,50.62,376.38,14.11,544.85,76.9
16.3,59.53,359.92,11.26,578.94,84.54
14.41,53.94,393.98,12.63,569.97,81.63
16.34,51.4,274.62,14.04,565.19,80.87
15.23,56.87,224.8,11.93,590.19,72.23
16.6,52.86,239.48,13.11,501.66,75.86
16.74,55.76,270.71,11.29,556.65,76.81
12.96,55.96,349.97,10.67,580.24,70.68
13.26,54.59,444.68,13.95,555.45,84.57
13.99,58.45,423.0,10.56,532.3,78.16
15.79,52.5,444.07,11.29,511.86,82.7
16.55,54.42,308.34,14.23,587.35,86.12
14.9,55.38,318.22,11.76,547.46,75.28
15.43,56.63,317.63,14.92,588.29,86.4
13.73,57.95,255.27,14.98,557.04,77.04
16.21,53.66,223.69,11.45,567.48,71.74
16.86,56.51,378.38,10.2,581.31,83.33
14.11,51.46,493.46,13.61,564.3,87.23
15.06,59.2,248.06,12.23,541.36,74.65
13.37,53.72,218.73,10.57,550.83,60.67
15.3,57.26,440.6,13.55,582.07,90.41
14.96,49.68,282.22,10.19,536.62,66.74
13.55,51.95,452.08,14.38,537.37,84.57
14.73,54.74,410.12,10.58,508.93,77.85
14.35,58.86,470.04,10.56,591.32,85.86
15.07,55.16,323.93,10.89,508.56,72.83
15.38,59.27,398.58,14.68,564.52,92.69
12.98,55.06,340.05,13.53,541.79,74.61
16.05,55.05,389.4,14.07,540.32,88.44
15.89,51.33,329.29,12.01,567.86,78.81
14.35,57.95,258.94,11.6,504.31,69.55
13.33,52.55,355.03,11.27,559.92,69.63
16.0,58.96,361.45,12.55,577.08,86.27
16.7,59.08,447.17,12.77,585.08,95.7
13.97,59.49,423.2,13.2,515.73,84.75
14.3,55.12,397.41,11.3,587.2,79.32
13.73,56.99,233.72,14.78,566.48,75.49
15.36,57.76,416.57,10.84,588.67,84.04
13.66,51.4,350.55,14.83,547.11,78.64
14.44,56.22,472.44,10.14,552.05,80.95
15.81,50.49,478.67,12.57,594.06,89.17
15.23,54.77,225.3,11.57,591.98,70.71
14.65,51.61,455.49,12.24,541.32,82.73
14.6,51.95,211.64,12.77,526.8,66.96
15.26,53.78,293.98,12.29,541.66,75.82
13.03,54.16,367.9,12.03,538.11,73.08
13.36,56.14,242.15,13.56,528.0,70.32
16.48,50.89,420.52,13.48,526.46,88.49
13.21,54.93,200.83,14.29,584.53,69.53
15.84,51.78,248.7,11.3,504.59,69.14
16.7,55.97,376.82,13.06,569.24,89.3
14.17,56.37,407.74,12.96,514.69,82.59
14.41,55.46,470.45,11.95,534.8,84.64
15.34,57.26,413.1,12.37,507.4,84.35
16.66,53.4,404.16,11.56,524.96,83.77
16.75,57.46,321.01,10.68,575.54,81.36
15.88,54.29,197.07,10.98,590.21,69.26
13.32,54.89,231.92,10.5,522.9,61.29
15.68,56.67,358.23,13.5,545.49,85.53
14.67,50.28,403.55,13.34,548.72,81.23
14.85,56.44,331.5,14.8,589.05,84.91
13.29,56.36,410.57,13.66,576.66,82.69
13.7,53.06,355.63,10.3,550.04,70.45
16.06,50.68,216.64,14.36,566.49,76.75
14.88,50.88,250.64,14.29,585.14,75.49
14.08,59.44,456.08,12.23,500.69,84.81
14.52,56.92,419.77,12.95,541.61,84.81
16.6,51.27,470.32,14.9,588.58,96.72
16.0,53.8,239.15,12.65,571.93,74.8
14.02,55.72,495.04,14.5,554.54,92.3
13.47,58.17,261.0,10.64,552.27,66.29
14.01,50.2,212.75,11.02,533.9,59.47
16.69,52.42,498.19,12.23,549.57,92.82
15.36,58.92,287.42,12.91,565.57,80.0
15.07,50.32,400.43,14.05,541.76,83.7
15.48,52.05,245.21,14.93,572.33,79.17
14.48,59.53,365.45,11.97,586.22,82.65
16.27,56.13,468.77,10.1,515.28,85.8
15.06,52.63,300.51,13.89,546.81,78.77
13.54,50.43,404.4,12.98,538.96,76.98
13.5,50.67,260.22,11.01,569.5,63.28
15.16,52.52,383.28,12.46,522.64,80.32
16.69,58.85,307.75,13.82,562.85,87.39
14.18,54.25,259.3,13.75,586.05,75.29
16.52,57.31,294.85,12.44,542.91,81.07
16.03,59.16,253.61,11.64,591.01,77.2
13.94,53.99,469.84,14.88,599.3,90.75
13.11,52.0,324.8,13.38,509.05,71.01
13.45,55.23,270.61,12.19,522.88,68.11
15.88,58.96,328.83,11.35,593.97,82.81
13.79,58.25,296.25,13.65,596.37,78.04
14.49,50.7,421.64,11.19,508.38,76.16
14.9,57.03,505.6,10.72,503.37,85.17
15.82,55.92,334.26,12.63,513.76,81.42
13.47,59.08,456.58,11.51,598.47,83.66
14.58,51.27,365.31,13.18,520.36,78.4
15.0,55.46,239.25,10.63,549.64,67.85
15.22,58.69,402.87,13.25,582.99,89.26
16.31,54.11,354.51,11.37,502.35,79.32
13.79,54.84,401.2,10.09,559.78,73.7
16.23,50.57,471.63,10.6,526.53,84.43
15.81,53.12,333.1,14.69,584.69,85.4
15.19,53.04,468.99,14.35,532.24,91.25
15.94,59.26,426.33,11.27,568.32,87.16
14.76,53.02,344.4,13.96,564.72,80.33
13.55,54.71,388.21,12.95,524.25,77.36
15.69,56.56,296.88,14.77,504.34,83.28
15.18,51.71,494.72,11.91,539.85,86.5
15.55,55.08,390.87,13.4,527.61,86.35
14.31,57.38,212.33,10.28,581.84,65.45
16.68,59.05,301.51,12.05,579.69,83.23
15.35,56.01,382.49,14.83,543.0,89.3
13.35,56.79,213.74,12.7,563.16,67.51
14.75,51.43,210.51,11.5,559.82,64.3
15.93,59.59,328.78,10.57,584.82,79.44
16.19,51.3,304.27,13.63,544.3,79.97
15.03,57.7,329.25,13.17,526.14,80.44
16.57,52.71,277.17,11.92,527.96,76.06
14.15,59.45,244.68,14.86,552.7,77.64
14.6,57.29,408.34,10.01,542.29,78.79
16.53,57.69,364.74,11.49,543.42,84.06
16.58,52.04,263.34,14.69,509.67,80.46
15.74,54.4,292.23,11.69,571.21,76.82
16.48,56.04,382.33,11.25,520.94,83.14
13.31,57.64,220.33,12.62,521.3,66.78
16.54,51.19,250.03,14.19,541.43,78.48
14.4,59.64,225.37,10.6,521.59,65.61
13.71,59.28,431.29,14.63,559.37,89.98
14.03,52.73,421.49,13.89,537.42,82.89
14.61,58.24,429.97,10.92,541.35,82.09
14.07,55.2,415.54,13.61,554.32,83.9
14.34,54.53,396.5,11.9,520.9,79.3
13.59,53.14,340.43,12.06,515.6,71.03
14.18,55.97,384.65,13.87,589.29,84.78
15.12,57.32,211.14,14.66,542.43,77.83
14.73,53.99,395.76,10.6,541.68,76.61
14.35,56.16,436.76,12.11,501.36,82.18
15.93,56.93,359.34,12.38,550.37,83.29
16.58,57.12,310.97,11.8,558.16,81.29
16.0,50.69,287.56,11.69,554.49,74.75
14.28,58.4,401.16,10.22,569.64,78.13
15.92,54.54,409.43,13.49,516.75,87.8
13.57,52.65,460.5,12.27,525.4,80.31
13.59,52.15,307.05,11.06,579.58,67.41
14.34,54.71,437.06,14.02,595.31,88.61
16.2,58.77,366.38,13.93,514.78,89.59
13.96,53.67,461.81,12.47,550.52,84.59
13.27,57.53,358.93,11.54,518.93,72.9
13.55,50.94,358.79,13.22,507.41,73.94
16.26,54.68,376.73,11.3,533.87,82.12
15.59,59.98,418.79,11.12,515.54,85.34
14.1,57.95,497.46,13.65,571.52,91.53
15.16,52.34,219.37,10.24,553.68,63.93
15.05,54.74,214.91,10.53,515.83,65.07
15.6,52.42,477.46,10.04,503.63,81.84
13.89,54.07,370.34,10.79,579.48,73.21
16.47,57.82,385.49,10.35,519.13,82.41
14.13,57.65,341.14,15.03,560.5,85.05
15.71,52.3,231.74,11.47,533.51,69.17
13.15,59.24,433.67,10.75,556.39,78.11
14.44,55.84,423.38,11.19,531.17,80.36
14.48,53.67,297.05,14.69,507.29,77.17
15.19,54.95,288.39,12.64,521.64,75.28
13.19,56.08,449.27,11.84,517.26,80.1
16.2,55.69,213.23,14.39,542.17,78.96
13.86,54.99,458.75,12.07,565.26,83.5
15.68,54.98,284.62,11.69,526.52,73.99
16.23,51.81,384.81,10.99,498.94,78.54
15.27,58.27,481.08,11.95,549.86,89.88
16.0,55.59,410.45,11.48,561.08,84.19
15.72,51.3,323.65,13.31,595.17,80.53
14.45,57.63,405.83,11.47,560.46,81.03
16.16,59.35,303.43,12.92,547.43,83.75
14.15,59.31,282.65,10.24,558.19,70.16
15.45,53.66,498.1,10.93,594.77,87.4
16.02,51.46,430.06,11.99,582.4,85.37
14.65,55.28,394.05,14.65,531.49,85.7
14.29,51.09,309.59,11.95,524.95,69.81
14.85,59.37,219.1,13.37,526.98,74.44
16.29,51.72,210.95,11.27,550.18,69.68
16.72,52.63,362.16,10.6,576.36,81.46
15.08,54.06,422.91,10.2,550.02,80.54
15.65,53.79,361.84,11.63,506.83,77.93
16.68,57.89,451.51,10.83,572.39,89.61
13.36,54.55,210.4,10.82,579.28,61.65
13.95,51.64,309.96,13.86,529.06,74.73
15.88,52.77,282.01,10.07,568.37,70.19
16.24,55.03,328.57,12.77,543.28,82.6
16.4,51.71,213.33,11.93,588.96,72.76
14.6,56.33,487.64,12.48,584.3,89.71
13.31,55.53,265.39,12.79,553.01,70.29
14.68,57.16,478.02,11.58,570.2,87.44
13.87,59.28,330.23,11.44,589.19,75.86
14.25,59.08,501.07,13.72,549.11,92.54
16.04,59.75,359.86,14.49,531.78,90.21
13.31,52.4,476.9,10.91,576.04,79.14
16.28,51.37,203.41,10.37,520.59,66.2
14.78,53.1,427.72,14.34,539.09,86.86
15.46,58.81,480.16,11.74,583.54,90.61
13.41,59.6,245.94,12.71,573.12,71.46
14.37,58.42,228.6,11.81,541.31,69.24
13.35,50.97,323.62,10.64,522.52,65.67
16.78,59.06,477.73,12.83,535.04,97.71
16.34,54.31,360.22,12.49,528.84,84.36
14.79,50.39,361.0,11.04,519.61,72.87
13.93,54.45,243.42,12.27,576.32,68.94
16.79,50.26,194.66,13.95,525.17,74.97
14.35,55.35,441.2,12.83,545.61,85.0
13.7,53.32,229.97,10.52,540.15,61.23
15.3,54.59,391.64,12.83,596.1,85.04
16.87,56.26,476.78,13.53,538.66,96.5
12.99,58.81,264.21,13.9,509.87,71.99
13.88,56.45,406.44,13.15,510.35,81.35
16.72,54.45,224.6,10.66,559.59,72.11
13.7,58.42,379.5,13.63,557.82,82.44
13.46,59.33,245.32,13.39,541.81,71.74
15.26,51.61,421.84,9.99,542.36,77.49
16.34,55.19,280.08,12.04,505.86,78.44
14.94,53.25,338.24,11.7,550.52,75.7
17.09,50.42,378.96,13.32,549.03,87.15
15.74,56.6,245.63,11.06,512.05,72.54
13.33,58.68,418.58,12.87,512.1,81.02
17.0,51.54,294.2,14.61,511.8,82.95
14.65,58.18,399.68,13.94,510.32,86.7
14.2,58.34,247.91,14.45,560.97,77.29
15.25,59.11,407.73,14.87,518.15,91.24
14.2,52.84,238.85,10.12,523.37,61.51
13.3,59.03,332.85,13.09,515.94,76.12
12.99,53.23,274.68,12.19,594.77,67.93
14.82,55.59,418.37,14.33,585.98,89.29
16.33,50.67,285.48,11.28,521.93,72.64
15.31,50.2,466.08,14.9,535.21,90.79
17.02,57.29,465.06,13.06,522.43,95.75
14.2,54.41,253.65,13.95,550.32,73.46
14.2,52.59,385.82,10.41,501.79,72.35
13.64,52.06,225.82,10.96,569.26,62.49
13.58,56.53,324.1,13.72,552.01,77.28
14.12,49.86,412.54,10.03,589.82,74.22
16.17,57.78,394.3,14.0,516.68,90.98
16.52,50.71,391.19,10.22,581.4,79.81
16.98,52.11,288.66,13.32,580.09,81.71
13.94,53.84,314.12,11.85,512.05,70.57
16.55,54.65,233.73,12.98,539.11,77.68
14.39,53.48,415.55,13.53,517.91,83.01
13.42,52.99,352.15,11.7,526.48,71.91
16.51,59.48,417.54,10.56,525.77,86.17
15.54,56.47,277.32,10.28,553.39,71.79
13.65,50.06,296.62,12.96,540.85,70.03
14.67,54.46,305.96,12.57,595.65,76.94
14.24,58.74,197.75,13.66,515.17,70.72
15.93,53.03,310.96,12.6,595.69,79.9
14.85,50.91,433.8,12.0,522.46,82.33
16.85,57.7,466.55,12.03,576.74,95.4
13.29,56.17,355.29,10.18,535.8,69.94
14.48,55.75,336.03,11.61,514.26,74.62
14.93,50.62,213.49,14.82,584.51,74.11
15.0,51.37,459.3,14.35,531.67,89.02
14.29,56.3,205.0,11.67,565.32,66.92
16.05,52.03,480.99,12.93,554.92,91.49
16.4,55.04,348.01,14.27,545.92,88.11
16.8,55.41,302.31,12.33,552.02,81.87
16.17,52.77,477.66,10.05,573.76,85.89
16.4,59.38,205.0,10.25,508.93,70.58
15.19,58.49,372.28,12.61,566.47,84.64
16.28,57.41,365.89,14.97,589.99,92.12
14.21,50.95,269.77,13.49,506.17,70.15
