Temperature,Humidity,Light,Soil_Moisture,CO2,Growth
16.6,64.47,1126.08,26.35,751.23,81.51
14.57,61.41,1554.74,24.98,753.79,79.82
16.4,63.39,1243.13,28.56,746.98,86.2
15.35,56.48,1974.77,29.2,726.44,92.81
15.01,63.48,1811.71,20.11,704.32,80.0
14.5,61.61,1410.31,20.71,739.62,71.1
14.55,56.62,1186.36,29.53,706.7,74.31
16.03,56.79,1787.33,22.66,752.49,84.1
15.67,64.36,1137.92,28.84,733.0,81.68
14.32,55.17,1201.36,23.68,752.88,67.15
14.44,59.82,1210.98,21.28,712.35,65.82
14.16,58.24,1548.12,21.07,794.3,72.89
16.27,61.65,1792.02,21.65,791.53,86.32
16.15,63.4,1321.93,22.59,720.57,77.57
14.12,58.52,1076.12,25.01,735.05,67.24
15.68,59.31,1467.02,27.27,762.87,83.77
14.25,64.98,1766.58,30.04,707.16,90.08
16.77,62.74,1252.59,24.48,734.73,80.3
16.69,63.75,1232.69,25.32,723.83,81.19
16.08,59.49,1975.05,25.09,793.27,92.68
16.68,57.39,1944.75,25.51,784.71,93.53
16.51,58.96,2000.95,25.03,759.17,92.95
16.44,62.05,1827.65,20.03,752.79,84.83
15.72,55.97,1174.79,19.56,791.86,68.24
14.91,57.6,1204.73,21.04,792.42,68.62
14.65,55.42,1366.19,20.92,798.75,68.47
15.02,59.28,1303.57,27.21,711.45,77.22
15.96,63.18,1936.49,22.11,716.23,88.94
14.53,55.14,1811.9,29.11,766.58,85.34
14.8,61.72,1741.89,29.13,753.7,89.74
15.42,64.35,1192.42,29.91,701.78,82.19
14.74,57.32,1908.84,29.7,705.1,89.46
15.75,62.1,1821.32,22.83,787.46,87.21
16.82,64.82,1167.85,25.22,787.29,82.39
16.29,64.39,1894.77,21.78,734.54,88.99
16.05,57.42,1275.81,27.98,787.97,82.32
15.72,56.09,1113.24,29.0,758.05,77.03
15.46,56.42,1643.41,28.29,780.48,86.9
14.57,61.8,1653.51,24.27,744.07,80.45
16.62,62.26,1089.36,27.32,713.45,80.34
14.81,61.74,1302.64,20.87,742.36,71.26
14.27,58.2,1990.53,20.5,748.74,79.02
16.26,56.49,1684.66,27.61,753.69,88.31
14.5,60.79,1737.91,24.26,712.08,81.28
15.06,59.8,1245.34,29.98,798.13,81.03
14.06,62.23,1085.72,20.69,723.19,64.34
14.42,59.4,1294.08,28.5,718.81,76.47
14.55,58.23,1249.89,24.7,752.61,71.3
14.17,57.87,1259.61,28.17,754.53,74.39
15.99,57.19,1228.58,28.26,744.92,78.67
16.5,57.61,1582.69,29.03,775.87,90.69
15.14,55.71,1313.27,22.89,750.28,71.26
16.69,58.4,1812.15,29.19,759.69,95.38
14.67,55.21,1188.16,21.47,772.22,65.31
15.01,56.9,1471.45,20.66,702.21,69.71
14.46,62.51,1024.09,24.33,755.73,68.99
15.8,58.01,1488.56,28.14,788.8,85.55
15.21,61.79,1055.94,24.75,704.91,71.01
15.86,62.01,1968.22,28.27,739.81,96.73
16.28,61.04,1796.58,27.55,792.02,93.66
15.66,64.58,1517.82,22.17,736.1,80.06
15.96,55.03,1101.82,29.22,745.09,77.51
16.84,62.22,1600.43,20.42,799.09,83.73
14.95,64.64,1774.14,28.99,718.93,91.05
15.08,63.57,1185.17,22.91,709.09,70.94
16.12,56.66,1560.62,24.56,786.43,83.58
15.83,58.5,1803.04,24.42,785.98,86.97
14.5,56.62,1766.38,21.83,746.38,76.34
15.2,61.02,1796.69,23.66,750.7,84.56
15.44,62.33,1897.37,21.84,785.5,86.61
15.28,58.21,1930.58,22.1,772.08,84.15
14.59,60.16,1393.53,21.77,725.58,71.25
16.69,61.98,1597.79,24.92,700.9,86.58
16.31,59.05,1783.92,27.84,747.95,92.08
15.39,63.74,1699.43,25.92,785.51,88.23
16.04,62.6,2002.26,28.7,787.49,100.49
16.68,56.08,996.7,26.55,795.06,76.05
14.44,61.42,1373.59,26.9,787.82,77.88
14.76,57.24,1290.55,26.6,757.12,74.37
15.69,60.58,1285.6,24.52,745.42,76.55
16.37,64.68,1212.38,27.0,778.77,84.89
14.14,63.9,1710.6,20.9,773.87,77.01
16.96,59.11,1085.35,28.65,754.14,82.32
15.29,58.1,1745.55,27.65,705.7,87.11
15.04,57.33,1671.7,22.46,792.02,80.28
14.87,60.27,1252.46,27.95,746.97,77.81
14.57,56.09,1231.52,20.33,735.74,64.34
16.39,60.62,1634.21,22.31,761.92,82.62
16.82,55.07,1730.37,20.77,770.57,83.46
15.23,58.28,1848.83,27.91,723.62,89.04
16.94,57.31,1864.37,27.73,784.35,94.48
16.48,64.42,1956.71,28.07,730.59,99.48
15.43,62.32,1566.63,19.84,715.55,77.27
16.04,58.53,1927.64,25.02,739.54,90.46
15.34,56.17,1813.41,26.93,772.4,87.14
15.66,59.95,1907.7,21.4,796.22,86.43
14.2,57.36,1009.14,26.39,780.24,68.16
16.07,60.38,2005.93,21.21,790.46,87.53
14.19,63.42,1464.5,21.83,714.6,73.62
16.46,61.4,1824.24,24.81,707.88,89.1
16.5,61.42,1126.29,26.35,758.01,80.7
14.68,60.47,1371.23,21.18,727.93,72.1
14.94,64.31,1278.67,21.73,781.59,74.39
15.48,64.25,1296.36,22.26,763.44,76.77
15.79,60.12,1107.55,22.44,796.66,73.54
14.87,57.95,1791.99,22.35,726.74,79.46
15.76,59.59,1008.87,24.06,747.72,70.63
14.93,56.53,1317.73,26.45,753.13,74.78
14.14,61.43,1137.5,24.59,723.56,70.56
14.0,59.98,1604.77,27.67,759.22,81.29
14.34,55.98,1246.87,27.4,742.42,73.06
16.43,57.01,1239.1,21.33,745.07,72.4
16.86,59.59,1502.4,20.22,733.5,79.9
15.37,64.15,1652.34,28.67,702.66,88.94
15.55,60.65,1139.47,20.53,753.22,68.49
14.4,61.79,1182.05,21.66,735.43,67.32
15.67,58.25,1247.15,20.22,698.7,68.23
14.42,60.72,1971.47,25.95,731.02,88.39
15.85,59.67,1404.36,25.88,728.65,80.4
16.8,61.74,1592.81,29.79,739.96,94.54
14.59,55.63,1228.81,28.65,711.97,74.3
16.25,60.01,1499.57,24.36,747.42,82.13
14.11,57.91,1071.96,23.73,769.73,65.41
15.08,58.05,1035.24,22.92,762.8,68.35
14.28,64.58,1485.01,21.46,779.58,75.58
15.07,56.79,1396.96,21.16,746.27,70.19
14.59,58.26,1137.1,21.13,751.85,64.77
15.1,60.14,1678.64,21.33,779.19,79.27
15.28,63.86,1999.34,22.33,740.06,89.07
14.95,59.34,1400.87,23.07,768.58,74.95
16.01,62.37,1638.01,29.31,746.81,91.87
16.74,63.3,1954.32,25.59,742.79,98.09
15.15,58.3,1824.7,29.97,776.28,92.15
14.48,59.12,1475.39,23.78,717.23,74.68
14.8,58.37,1741.26,24.84,733.51,81.05
16.61,63.55,1114.6,23.45,724.05,75.61
15.67,55.5,1531.62,21.79,735.22,74.36
15.4,58.11,1253.69,21.5,723.85,68.7
14.41,62.03,1172.88,29.4,757.45,78.78
15.35,60.85,1407.38,30.17,782.54,86.55
14.87,59.46,1159.19,20.62,779.7,65.82
16.8,60.47,1675.91,21.53,738.2,84.99
16.66,57.06,1473.45,24.27,798.06,82.6
14.23,59.25,1529.93,22.08,760.87,73.47
15.58,60.01,1140.9,23.72,739.5,72.94
14.69,63.88,1142.54,21.52,783.71,69.65
15.23,57.56,1592.85,24.24,775.28,79.98
16.7,63.63,1971.5,22.79,773.47,94.38
15.61,61.35,1084.06,23.44,719.9,72.12
14.97,55.22,1295.44,21.2,747.45,67.18
14.62,62.2,1843.95,24.51,786.91,87.33
16.4,55.43,1063.54,29.84,749.77,79.17
15.88,64.74,1921.31,23.52,771.27,90.37
15.51,63.71,1509.83,29.03,756.98,88.6
14.67,57.99,1425.41,28.44,786.28,80.17
14.91,57.53,1300.93,29.89,730.16,79.75
16.86,58.79,1304.72,27.9,760.21,84.7
15.48,58.33,1315.58,26.56,710.1,77.66
15.19,58.77,1901.67,28.69,767.8,92.46
15.48,58.28,1720.8,20.7,775.29,79.45
16.3,61.28,1699.43,24.64,701.65,85.98
14.95,56.79,1789.95,30.1,765.33,90.34
14.55,63.49,1260.61,27.7,740.78,78.0
15.75,63.19,1621.71,29.37,712.68,90.78
16.01,59.79,1443.31,27.85,744.22,85.45
16.13,63.63,1778.17,28.65,719.16,95.17
16.59,57.24,1311.67,27.19,740.7,82.71
15.14,55.05,1636.72,27.71,738.87,82.41
14.31,61.42,1918.68,25.45,774.5,85.89
16.89,59.22,1389.62,29.38,778.04,89.49
15.29,60.65,1084.24,28.41,760.45,76.65
15.81,64.16,1528.84,28.34,699.53,88.72
15.96,64.69,1345.77,26.85,791.82,85.6
15.66,61.29,1659.3,23.34,770.61,83.68
14.66,62.66,1939.56,20.25,703.68,81.28
16.28,55.79,1477.87,29.62,781.43,86.83
16.45,56.61,1439.51,25.78,721.59,82.26
15.69,62.23,1639.59,22.85,756.34,83.77
15.49,59.47,1081.35,21.54,746.35,67.55
14.31,59.67,1273.61,28.4,742.18,76.22
14.26,58.07,1928.22,28.5,788.35,88.68
14.98,60.87,1681.68,28.0,743.88,87.64
14.93,56.78,1022.24,26.52,707.27,68.19
16.88,61.24,1207.12,23.56,792.7,79.95
16.42,56.81,1704.66,22.82,792.31,84.17
15.92,55.49,1755.28,19.95,766.58,79.35
15.57,58.19,1841.45,28.22,747.02,91.26
14.57,57.39,1303.34,20.95,711.21,65.22
16.97,64.03,1911.29,26.48,778.68,99.53
15.16,55.46,1599.2,24.82,705.91,77.41
14.35,56.57,1696.97,25.32,706.68,78.77
15.54,60.96,1598.86,29.09,752.57,89.05
16.57,59.92,1141.52,20.41,716.85,70.67
16.6,55.42,1976.78,27.64,700.57,93.02
14.03,55.2,1123.44,20.36,744.71,59.78
16.57,64.86,1256.83,20.5,715.35,77.0
14.87,61.71,1791.16,24.21,715.84,84.53
14.17,58.68,1610.28,20.58,708.69,70.99
16.52,59.72,1845.88,27.56,719.96,92.79
16.58,57.65,1522.37,25.44,771.6,84.49
15.79,58.24,1395.24,20.41,780.39,73.34
15.73,61.77,1920.05,20.41,746.33,84.69
16.44,63.69,1015.53,25.9,752.66,79.26
16.38,56.64,1871.92,28.24,704.38,92.09
16.66,63.37,1252.27,24.28,708.22,80.42
15.7,56.08,1862.15,25.48,727.05,86.35
16.92,57.14,1136.75,28.34,755.16,80.42
16.96,55.47,1595.82,26.0,772.36,86.76
14.41,56.55,1939.33,22.36,762.88,80.13
16.49,64.29,1475.26,26.21,741.74,87.9
15.5,59.55,1726.97,26.34,711.5,86.43
15.2,55.78,1795.91,27.38,777.56,87.09
15.81,64.66,1745.84,26.26,737.24,90.85
14.18,63.54,1901.36,29.73,774.38,92.58
15.54,62.63,1449.36,21.97,751.01,77.66
16.58,64.12,1178.81,29.74,772.11,87.44
14.64,57.5,1070.74,25.19,791.16,69.78
15.27,63.31,1266.03,26.87,792.88,80.66
16.79,61.87,1156.11,21.12,754.53,74.08
15.39,63.59,1525.64,23.91,751.64,82.3
15.04,62.88,1198.7,27.86,726.19,77.89
15.37,58.79,1049.47,27.06,794.97,73.9
15.54,62.88,1039.81,20.12,745.88,67.63
15.85,57.4,1805.72,25.46,712.11,87.28
16.41,58.5,1579.85,20.74,743.02,79.92
15.38,56.25,1340.65,29.85,710.26,81.18
16.49,64.31,1864.13,28.79,750.0,99.78
15.67,57.95,1070.15,20.14,757.09,66.1
15.14,60.2,1968.4,28.5,734.25,93.01
15.98,59.2,1655.51,28.84,709.3,88.88
16.12,64.48,1180.94,23.64,793.98,78.13
15.69,58.37,1698.4,27.52,778.02,87.62
14.16,62.72,1739.94,24.51,785.0,82.91
14.55,63.35,1421.42,26.52,739.97,80.57
14.8,59.67,1863.08,23.4,776.29,83.96
14.95,58.61,1137.17,23.16,747.07,69.12
16.06,62.51,1272.53,24.26,721.3,77.75
13.98,63.88,1090.24,21.45,715.06,65.75
16.24,62.49,1207.38,28.19,734.05,83.73
14.83,57.33,1266.44,23.74,714.93,69.45
14.98,63.76,1923.28,23.78,801.55,89.03
15.53,58.96,1085.27,29.05,706.34,76.23
14.68,60.72,1435.48,24.95,744.29,77.13
16.57,63.48,1541.55,25.73,744.23,87.72
14.25,57.08,1897.45,29.62,729.95,88.2
15.38,62.76,1992.9,28.81,757.78,96.0
16.52,60.97,1755.88,21.66,716.27,84.77
15.78,63.96,1988.07,24.74,778.86,94.66
14.88,56.81,1803.93,29.54,732.71,88.33
15.24,59.21,1959.61,23.61,759.91,87.33
16.15,63.36,1718.74,23.45,772.77,88.77
16.88,55.16,1076.86,21.81,789.44,71.04
16.65,56.14,1402.43,21.16,782.41,76.41
14.94,65.09,1639.52,27.45,760.58,88.35
17.0,57.9,1348.01,27.41,740.17,85.49
14.0,64.86,1293.42,29.67,748.38,80.83
14.03,56.93,1578.78,27.82,773.94,79.67
16.48,58.59,1935.52,22.41,789.87,89.87
14.64,62.57,1013.36,20.31,711.09,63.55
14.17,61.42,1764.61,29.79,739.34,89.12
14.72,60.99,1719.12,23.32,776.1,81.35
15.29,59.9,1951.57,23.03,744.2,86.77
16.14,63.42,1931.03,29.09,733.61,98.31
15.96,57.51,1755.82,26.19,738.91,87.09
14.69,59.23,1521.6,22.04,762.28,74.82
15.54,56.61,1206.08,28.84,800.2,79.54
16.81,60.86,1530.96,29.93,748.74,93.33
16.44,57.45,1759.4,20.76,720.32,82.1
15.0,58.48,1896.83,28.79,713.46,90.06
16.96,59.74,1807.4,23.55,705.07,88.94
16.06,54.97,1199.1,25.16,756.25,74.81
14.17,55.78,1589.8,29.27,754.19,81.39
14.08,62.0,1338.13,29.69,722.31,79.57
14.49,59.35,1034.71,22.5,767.59,65.35
16.13,63.9,1213.92,22.19,773.27,76.61
14.6,62.19,1121.4,20.94,724.72,65.61
15.6,55.03,1853.56,25.65,734.02,84.66
14.32,61.53,1280.02,20.02,799.14,68.18
16.82,55.94,1300.77,24.19,738.03,77.44
15.02,62.67,1968.4,20.67,775.59,85.52
16.7,64.82,1395.05,24.16,744.04,84.46
16.8,59.99,993.43,20.62,781.7,70.45
14.05,62.06,1261.4,27.96,780.28,77.76
15.4,57.6,1121.65,22.11,766.98,68.43
14.07,59.23,1103.83,23.03,784.42,67.17
16.78,63.53,1069.36,29.06,795.99,84.17
15.57,56.69,1605.6,27.39,755.97,84.43
14.19,57.52,1161.52,22.3,723.28,65.35
14.3,59.2,1353.25,20.71,738.89,68.11
15.18,62.09,1854.77,27.04,774.21,91.49
16.87,58.71,1399.89,23.77,764.7,82.05
16.1,64.22,1938.02,27.9,716.57,95.88
16.69,55.98,1477.63,24.6,705.14,80.41
15.17,58.91,1390.05,23.75,768.33,75.17
14.15,62.05,1763.95,24.52,724.24,81.51
16.89,57.28,1082.83,27.53,749.45,78.95
13.99,61.67,1072.92,28.98,774.35,74.57
16.83,56.72,1662.17,20.46,757.4,81.63
15.14,55.47,1491.27,25.09,708.12,76.54
14.11,56.22,1825.27,20.34,719.71,71.93
16.09,64.38,1922.31,24.57,722.75,92.13
16.99,60.35,1386.26,28.92,726.59,88.55
16.89,63.15,1583.62,23.64,758.48,87.9
14.51,58.53,1489.58,29.37,748.83,81.59
14.58,60.82,1969.28,26.56,719.65,89.04
15.61,59.98,1851.57,29.34,709.23,92.91
15.89,64.55,1912.01,27.68,716.78,95.7
16.26,62.4,1262.78,21.34,794.49,76.85
14.56,62.38,1795.15,22.51,746.57,81.07
16.83,55.49,1230.24,24.11,786.92,78.24
15.81,60.28,1227.85,21.66,781.21,74.39
16.53,59.74,1945.09,24.98,753.02,93.33
15.62,64.12,1025.8,24.52,769.67,74.55
15.2,57.71,1953.01,29.64,719.74,93.05
16.94,57.6,1137.98,24.38,768.52,77.14
15.77,59.09,1826.74,27.86,725.43,90.82
16.63,57.63,1311.54,29.57,781.71,85.61
16.76,56.36,1365.69,28.59,707.06,83.88
15.97,63.42,1235.66,22.33,778.83,76.38
15.63,60.44,1582.65,25.09,709.79,82.63
14.04,63.53,1339.13,23.47,787.39,74.01
14.14,63.37,1645.73,23.98,729.11,79.73
14.62,57.87,1008.35,23.68,767.12,66.33
14.54,60.36,1033.71,28.49,750.8,73.92
14.75,55.66,1088.83,24.54,738.29,67.56
14.88,64.19,1410.62,25.26,765.23,81.17
15.11,59.02,1812.18,29.83,795.16,92.56
15.22,59.25,1890.15,20.86,702.42,80.42
14.33,58.03,1250.23,24.82,791.54,71.38
14.14,59.87,1574.15,27.74,759.95,81.64
16.02,57.35,1759.68,21.73,778.17,82.91
15.58,58.52,1259.5,26.14,739.87,78.3
15.27,62.84,1400.41,22.56,746.21,77.12
15.88,63.51,1509.45,28.54,788.56,89.73
16.47,58.3,1141.84,23.24,742.72,73.12
15.18,59.58,1039.57,23.51,754.25,69.21
15.91,63.67,1166.83,25.88,702.88,77.91
16.9,55.36,1638.16,21.81,715.0,80.76
16.54,63.63,1071.62,22.89,766.77,76.24
15.26,57.3,1181.9,24.02,771.76,72.07
15.94,61.82,1326.69,23.47,758.68,78.75
14.51,60.83,1055.35,25.27,713.42,69.27
15.69,60.33,1206.52,26.0,743.24,77.2
17.01,63.83,1908.66,25.86,736.18,96.25
15.6,55.94,1000.68,26.77,749.87,71.47
16.81,58.55,1641.09,22.95,785.93,85.74
15.2,60.17,1371.46,21.28,775.57,73.9
17.03,63.09,1673.29,27.71,706.62,93.99
15.66,57.21,1604.64,28.73,790.71,87.27
14.12,63.08,1218.3,22.68,746.32,70.1
15.79,59.02,1813.56,24.11,773.91,88.02
14.86,56.96,1489.11,25.08,716.04,76.23
14.13,62.43,1820.2,25.43,765.5,85.08
16.48,55.94,1402.65,26.46,722.61,81.63
14.82,60.16,1975.31,20.44,742.76,82.5
16.41,55.67,1773.74,27.43,703.95,88.4
14.82,58.57,1966.94,20.59,717.95,80.95
14.55,60.83,1513.96,24.7,710.26,77.68
16.92,60.37,1479.86,28.24,725.07,89.13
15.09,58.73,1749.03,24.17,709.19,82.77
15.72,59.41,1873.02,21.49,771.92,84.97
15.85,57.39,1984.76,29.9,703.28,94.52
15.71,59.68,1332.91,28.82,762.97,83.12
16.74,64.58,1811.06,27.54,713.92,96.37
16.13,63.2,1228.96,23.98,794.14,79.67
